7TLSWL,7天连锁
AJ,安捷
ANE,安能
AXD,安信达
BALUNZHI,巴伦支
BFDF,百福东方
BKWL,宝凯
BQXHM,北青小红帽
BSWL,邦送
BTWL,百世
CCES,CCES
CITY100,城市100
COE,COE东方
CSCY,长沙创一
CXWL,传喜
DBL,德邦
DCWL,德创
DHWL,东红
DSWL,D速
DTKD,店通
DTWL,大田
DYWL,大洋
EMS,EMS
FAST,快捷
FBKD,飞豹
FEDEX,FedEx联邦
FHKD,飞狐
FKD,飞康达
FYPS,飞远
FYSD,凡宇
GDEMS,广东邮政
GDKD,冠达
GHX,挂号信
GKSD,港快
GSD,共速达
GTKD,广通
GTO,国通
GTSD,高铁
HBJH,河北建华
HFWL,汇丰
HHKD,华航
HHTT,天天
HLKD,韩润
HLWL,恒路
HMJKD,黄马甲
HMSD,海盟
HOAU,天地华宇
hq568,华强
HQKY,华企
HSWL,昊盛
HTKY,百世汇通
HTWL,户通
HXLWL,华夏龙
HYLSD,好来运
JD,京东
JGSD,京广
JIUYE,九曳供应链
JJKY,佳吉
JLDT,嘉里大通
JTKD,捷特
JXD,急先达
JYKD,晋越
JYM,加运美
JYSD,久易
JYWL,佳怡
KLWL,康力
KTKD,快淘
KYDSD,快优达
KYWL,跨越
LB,龙邦
LBKD,联邦
LHKD,蓝弧
LHT,联昊通
LJD,乐捷递
LJS,立即送
MB,民邦
MDM,门对门
MHKD,民航
MLWL,明亮
MSKD,闽盛
NEDA,能达
NJSBWL,南京晟邦
PADTF,平安达腾飞
PXWL,陪行
QCKD,全晨
QFKD,全峰
QRT,全日通
RFD,如风达
RLWL,日昱
SAD,赛澳递
SAWL,圣安
SBWL,盛邦
SDHH,山东海红
SDWL,上大
SF,顺丰
SFWL,盛丰
SHLDHY,上海林道
SHWL,盛辉
SJWL,穗佳
ST,速通
STO,申通
STSD,三态
SURE,速尔
SXHMJ,山西红马甲
SYJHE,沈阳佳惠尔
SYKD,世运
THTX,通和天下
TSSTO,唐山申通
UAPEX,全一
UC,优速
WJWL,万家
WTP,微特派
WXWL,万象
XBWL,新邦
XFEX,信丰
XGYZ,香港邮政
XLYT,祥龙运通
XYT,希优特
YADEX,源安达
YBJ,邮必佳
YCWL,远成
YD,韵达
YDH,义达国际
YFEX,越丰
YFHEX,原飞航
YFSD,亚风
YJSD,银捷
YLSY,亿领
YMWL,英脉
YSH,亿顺航
YSKY,音素
YTD,易通达
YTFH,一统飞鸿
YTKD,运通
YTO,圆通
YXWL,宇鑫
YZPY,平邮
ZENY,增益
ZHQKD,汇强
ZJS,宅急送
ZMKM,芝麻开门
ZRSD,中睿
ZTE,众通
ZTKY,中铁
ZTO,中通
ZTWL,中铁
ZTWY,中天万运
ZWYSD,中外运
ZYWL,中邮
ZZJH,郑州建华
